questionId,questionTextKey,questionText,normalizedFactId,sourceDocumentTypes,sourceDocumentHint,ruleIds,affectedModels,requiredForInclusion,requiredForExclusion,unknownBehavior,contradictionBehavior,temporalScope,territory,reviewStatus
G_LANDLORD_EXEMPTION,UNMAPPED,¿El propietario que te alquila el local te entregó un certificado para no retenerle parte del alquiler?,landlordWithholdingExemption,"[""UNMAPPED""]",Certificado de exoneración de retención del arrendador y su vigencia.,"[""es-common.2025.model-115"",""es-common.2025.model-180"",""es-common.2026.model-115"",""es-common.2026.model-180""]","[""115"",""180""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
H_CAPITAL,UNMAPPED,"¿Tu negocio pagó intereses, dividendos u otra renta financiera con retención?",paidCapitalIncome,"[""UNMAPPED""]","Contrato o acuerdo, justificante del pago y certificado o detalle de la retención.","[""es-common.2025.model-123"",""es-common.2025.model-193"",""es-common.2026.model-123"",""es-common.2026.model-193""]","[""123"",""193""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
H_NON_RESIDENT,UNMAPPED,¿Tu negocio pagó a una persona o empresa cuya residencia fiscal estaba fuera de España?,paidNonResidentIncome,"[""UNMAPPED""]",Factura o contrato y certificado de residencia fiscal de quien cobró.,"[""es-common.2025.model-216"",""es-common.2025.model-296"",""es-common.2026.model-216"",""es-common.2026.model-296""]","[""216"",""296""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
H_NON_RESIDENT_CONFIRMED,UNMAPPED,¿Está confirmado que ese pago debía declararse en España en los modelos 216 y 296?,nonResidentWithholdingConfirmed,"[""UNMAPPED""]","Certificado de residencia fiscal, factura o contrato y revisión del convenio aplicable.","[""es-common.2025.model-216"",""es-common.2025.model-296"",""es-common.2026.model-216"",""es-common.2026.model-296""]","[""216"",""296""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
I_EU_GOODS_SALES,UNMAPPED,¿Vendiste bienes a empresas de otros países de la UE?,euGoodsSales,"[""UNMAPPED""]","Facturas, transporte y validación VIES.","[""es-common.2025.model-036"",""es-common.2025.model-303"",""es-common.2025.model-349"",""es-common.2026.model-036"",""es-common.2026.model-303"",""es-common.2026.model-349""]","[""036"",""303"",""349""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
I_EU_GOODS_PURCHASES,UNMAPPED,¿Compraste bienes a empresas de otros países de la UE?,euGoodsPurchases,"[""UNMAPPED""]",Factura y libro de IVA.,"[""es-common.2025.model-303"",""es-common.2025.model-309"",""es-common.2025.model-349"",""es-common.2026.model-303"",""es-common.2026.model-309"",""es-common.2026.model-349""]","[""303"",""309"",""349""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
I_EU_SERVICES_SALES,UNMAPPED,¿Prestaste servicios a empresas de otros países de la UE?,euServicesSales,"[""UNMAPPED""]",Factura y consulta VIES.,"[""es-common.2025.model-036"",""es-common.2025.model-303"",""es-common.2025.model-349"",""es-common.2026.model-036"",""es-common.2026.model-303"",""es-common.2026.model-349""]","[""036"",""303"",""349""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
I_EU_SERVICES_PURCHASES,UNMAPPED,¿Recibiste servicios de empresas de otros países de la UE?,euServicesPurchases,"[""UNMAPPED""]",Facturas de plataformas y suscripciones.,"[""es-common.2025.model-303"",""es-common.2025.model-309"",""es-common.2025.model-349"",""es-common.2026.model-303"",""es-common.2026.model-309"",""es-common.2026.model-349""]","[""303"",""309"",""349""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
I_ROI,UNMAPPED,¿Estabas dado de alta efectivamente en ROI y tenías NIF-IVA válido?,roiRegistered,"[""UNMAPPED""]",Situación censal y consulta VIES.,"[""es-common.2025.model-036"",""es-common.2025.model-349"",""es-common.2026.model-036"",""es-common.2026.model-349""]","[""036"",""349""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
J_EU_CONSUMERS,UNMAPPED,¿Vendiste bienes o servicios a consumidores de otros países europeos?,euConsumerSales,"[""UNMAPPED""]",Ventas por país de consumo y tipo de cliente.,"[""es-common.2025.model-035"",""es-common.2025.model-369"",""es-common.2026.model-035"",""es-common.2026.model-369""]","[""035"",""369""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
J_OSS,UNMAPPED,¿Estabas acogido a OSS o IOSS durante el ejercicio?,ossRegistered,"[""UNMAPPED""]","Justificante 035, fecha de alta o baja y declaraciones 369 previas.","[""es-common.2025.model-035"",""es-common.2025.model-369"",""es-common.2026.model-035"",""es-common.2026.model-369""]","[""035"",""369""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
K_THRESHOLD,UNMAPPED,"¿Al sumar todo el año, superaste 3.005,06 € (IVA incluido) con algún mismo cliente o proveedor?",thirdPartyThresholdExceeded,"[""UNMAPPED""]","Listado anual de facturas e importes, agrupado por NIF de cada cliente y proveedor.","[""es-common.2025.model-347"",""es-common.2026.model-347""]","[""347""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
K_ALL_EXCLUDED,UNMAPPED,¿Todas las operaciones que superaron ese límite estaban excluidas del modelo 347?,thirdPartyOperationsAllExcluded,"[""UNMAPPED""]","Listado agrupado por cliente y proveedor, modelos informativos presentados y situación SII del año completo.","[""es-common.2025.model-347"",""es-common.2026.model-347""]","[""347""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
L_COMPANY_INSTALLMENTS,UNMAPPED,¿La sociedad debía efectuar pagos fraccionados del Impuesto sobre Sociedades?,companyInstallmentPayments,"[""UNMAPPED""]","Modelo 200 anterior, cifra de negocios y situación censal.","[""es-common.2025.model-202"",""es-common.2026.model-202""]","[""202""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
L_ATTRIBUTION_THRESHOLD,UNMAPPED,¿La entidad en atribución ejerció actividad económica o superó el umbral anual de rentas?,attributionEntityIncomeAboveThreshold,"[""UNMAPPED""]",Ingresos de la entidad y contrato de constitución.,"[""es-common.2025.model-184"",""es-common.2026.model-184""]","[""184""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
M_FOREIGN_ASSETS,UNMAPPED,¿Tuviste bienes o derechos en el extranjero que podrían superar los límites informativos?,foreignAssetsPotentiallyReportable,"[""UNMAPPED""]",Certificados bancarios y titularidad por bloques de bienes.,"[""es-common.2025.model-720"",""es-common.2026.model-720""]","[""720""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
M_FOREIGN_CRYPTO,UNMAPPED,¿Tuviste monedas virtuales custodiadas en el extranjero potencialmente declarables?,foreignCryptoPotentiallyReportable,"[""UNMAPPED""]",Extractos del custodio y valoración.,"[""es-common.2025.model-721"",""es-common.2026.model-721""]","[""721""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
M_WEALTH,UNMAPPED,¿A 31 de diciembre tenías bienes y derechos personales de valor elevado que pudieran obligarte a presentar Patrimonio (modelo 714)?,wealthTaxPotentiallyApplicable,"[""UNMAPPED""]","Último modelo 714, datos fiscales, saldos bancarios, inversiones, inmuebles, participaciones, deudas y comunidad autónoma de residencia.","[""es-common.2025.model-714"",""es-common.2026.model-714""]","[""714""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
N_CHANGES,UNMAPPED,"¿Hubo altas, bajas o cambios relevantes durante el ejercicio?",changesDuringYear,"[""UNMAPPED""]",Situación censal actual y justificantes de cada cambio.,"[""es-common.2025.model-036"",""es-common.2026.model-036""]","[""036""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
N_CENSUS_REVIEWED,UNMAPPED,¿Has revisado una situación censal actual para este ejercicio?,censusReviewed,"[""UNMAPPED""]",Certificado de situación censal actual de la AEAT.,"[""es-common.2025.model-111"",""es-common.2025.model-115"",""es-common.2025.model-123"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-216"",""es-common.2025.model-303"",""es-common.2026.model-111"",""es-common.2026.model-115"",""es-common.2026.model-123"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-216"",""es-common.2026.model-303""]","[""111"",""115"",""123"",""130"",""131"",""216"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
N_CENSUS_OBLIGATIONS,UNMAPPED,¿Qué obligaciones periódicas figuran en el censo revisado?,censusObligations,"[""UNMAPPED""]",Apartado de obligaciones periódicas del certificado censal.,"[""es-common.2025.model-111"",""es-common.2025.model-115"",""es-common.2025.model-123"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-216"",""es-common.2025.model-303"",""es-common.2026.model-111"",""es-common.2026.model-115"",""es-common.2026.model-123"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-216"",""es-common.2026.model-303""]","[""111"",""115"",""123"",""130"",""131"",""216"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
